,course_title,is_paid,price,num_reviews,level,subject,year,convertedtime,Bag_Of_Words,Words_Vector
25,Beginner to Pro in PowerPoint: Complete PowerPoint Training,1.0,150,518,0,Business Finance,2015,300.0,beginner pro powerpoint complete training business finance,0.3086066999241838
26,Investing 101: The Complete Online Investing Course,1.0,200,373,0,Business Finance,2014,270.0,investing 101 complete online course business finance,0.4629100498862757
27,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,1.0,175,237,2,Business Finance,2015,120.0,create hedge fund trade stocks like manager business finance,0.2721655269759087
28,Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),1.0,150,103,0,Business Finance,2016,270.0,learn mql5 build 8 currency hedging robot metatrader 5 business finance,0.2721655269759087
29,Forex Trading: Your Complete Guide to Get Started Like a Pro,1.0,140,25,1,Business Finance,2017,180.0,forex trading complete guide get started like pro business finance,0.25819888974716115
30,Python Algo Stock Trading: Automate Your Trading!,1.0,95,21,1,Business Finance,2017,150.0,python algo stock trading automate business finance,0.3086066999241838
31,THE Forex Robot: Incredible ROI (Robot Included),1.0,200,171,0,Business Finance,2016,90.0,forex robot incredible roi included business finance,0.3086066999241838
32,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,1.0,45,449,0,Business Finance,2015,390.0,complete bitcoin course get 001 wallet business finance,0.4330127018922194
33,Mastering High Probability Iron Condor Options Trading,1.0,200,11,0,Business Finance,2017,120.0,mastering high probability iron condor options trading business finance,0.2721655269759087
34,The Complete Short Course on Ethereum,1.0,200,12,0,Business Finance,2017,90.0,complete short course ethereum business finance,0.5000000000000001
35,Options Trading Stocks: Proven Toolbox For Financial Success,1.0,195,118,2,Business Finance,2015,600.0,options trading stocks proven toolbox financial success business finance,0.2721655269759087
36,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,1.0,195,2476,1,Business Finance,2014,330.0,forex trading z ™ live examples business finance,0.3333333333333334
37,"Introduction to Finance, Accounting, Modeling and Valuation",1.0,200,1118,0,Business Finance,2016,270.0,introduction finance accounting modeling valuation business finance,0.408248290463863
38,Beginner to Pro in Excel: Financial Modeling and Valuation,1.0,195,2697,0,Business Finance,2014,450.0,beginner pro excel financial modeling valuation business finance,0.2886751345948129
39,The Complete Investment Banking Course 2017,1.0,195,809,0,Business Finance,2016,330.0,complete investment banking course 2017 business finance,0.7715167498104596
40,The Complete Financial Analyst Course 2017,1.0,195,2347,0,Business Finance,2016,600.0,complete financial analyst course 2017 business finance,0.4629100498862757
41,Python for Finance: Investment Fundamentals & Data Analytics,1.0,195,278,0,Business Finance,2017,390.0,python finance investment fundamentals data analytics business finance,0.5163977794943223
42,Financial Modeling for Startups & Small Businesses,1.0,195,137,1,Business Finance,2017,690.0,financial modeling startups small businesses business finance,0.3086066999241838
43,Options Trading - How to Win with Weekly Options,1.0,115,1190,2,Business Finance,2015,1.0,options trading win weekly business finance,0.3333333333333334
44,Black Algo Trading: Build Your Trading Robot,1.0,200,1113,0,Business Finance,2014,960.0,black algo trading build robot business finance,0.3086066999241838
45,Accounting & Financial Statement Analysis: Complete Training,1.0,150,594,0,Business Finance,2015,180.0,accounting financial statement analysis complete training business finance,0.2886751345948129
46,Cryptocurrency Trading: Complete Guide To Trading Altcoins,1.0,95,42,0,Business Finance,2017,300.0,cryptocurrency trading complete guide altcoins business finance,0.3086066999241838
47,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,1.0,200,872,0,Business Finance,2014,330.0,forex robots expect earn 175 p robot included business finance,0.2721655269759087
48,Three Steps Trading - Live Trading - Real Account,1.0,190,11,0,Business Finance,2017,300.0,three steps trading live real account business finance,0.2886751345948129
49,Option Trading for Rookies:  Understand Options Completely,1.0,150,65,0,Business Finance,2016,120.0,option trading rookies understand options completely business finance,0.2886751345948129
50,How I Learned Stock Trading (and How You Can Too),1.0,200,12,3,Business Finance,2017,120.0,learned stock trading business finance,0.36514837167011077
51,Learn to Trade for Profit: Find and Trade Winning Stocks,1.0,95,71,0,Business Finance,2014,180.0,learn trade profit find winning stocks business finance,0.2886751345948129
52,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,1.0,125,200,2,Business Finance,2015,120.0,trading inside bars master 1 easy pattern successful business finance,0.2721655269759087
53,Four Fundamentals of Financial Planning,1.0,30,23,0,Business Finance,2017,1.0,four fundamentals financial planning business finance,0.3333333333333334
54,Options Trading - Calendar Spread Course for Every Trader,1.0,200,11,0,Business Finance,2017,90.0,options trading calendar spread course every trader business finance,0.408248290463863
55,Dividend Investing: Build Your Portfolio for a Better Future,1.0,60,83,1,Business Finance,2015,240.0,dividend investing build portfolio better future business finance,0.2886751345948129
56,Learn Accounting. Understand Business.,1.0,200,123,1,Business Finance,2014,330.0,learn accounting understand business business finance,0.4330127018922194
57,How to Consistently Win Trading Stocks in 30 Days or Less,1.0,145,169,2,Business Finance,2016,1.0,consistently win trading stocks 30 days less business finance,0.2721655269759087
58,A Beginner's Guide to Quantopian Futures API,1.0,20,6,2,Business Finance,2017,90.0,beginner guide quantopian futures api business finance,0.3086066999241838
59,How to Buy Cheap Options - Options Trading Pricing Model,1.0,200,2,0,Business Finance,2017,1.0,buy cheap options trading pricing model business finance,0.2886751345948129
60,Excel Crash Course: Master Excel for Financial Analysis,1.0,105,689,0,Business Finance,2016,210.0,excel crash course master financial analysis business finance,0.4330127018922194
61,"Comprehensive Guide to Financial Markets, Investing &Trading",1.0,60,600,1,Business Finance,2016,540.0,comprehensive guide financial markets investing trading business finance,0.2886751345948129
62,Stock Trading Ninja: Complete System For Trading Success,1.0,155,497,0,Business Finance,2014,270.0,stock trading ninja complete system success business finance,0.2886751345948129
63,Hedge and Mutual Fund Careers: The Complete Guide,1.0,200,340,0,Business Finance,2016,510.0,hedge mutual fund careers complete guide business finance,0.2886751345948129
64,Algorithmic Trading In Forex: Create Your First Forex Robot!,1.0,185,713,0,Business Finance,2014,390.0,algorithmic trading forex create first robot business finance,0.2886751345948129
65,The Power Modeling Bootcamp: Advanced Excel in 10 Days,1.0,150,158,0,Business Finance,2016,330.0,power modeling bootcamp advanced excel 10 days business finance,0.2721655269759087
66,Options Trading Basics (3-Course Bundle),1.0,180,985,1,Business Finance,2013,660.0,options trading basics 3 course bundle business finance,0.4629100498862757
67,How to Win 97% of Your Options Trades,1.0,125,461,0,Business Finance,2015,90.0,win 97 options trades business finance,0.3333333333333334
68,How I Make Consistent Returns Trading Options,1.0,200,162,0,Business Finance,2016,210.0,make consistent returns trading options business finance,0.3086066999241838
69,"Forex Strategies: Kelly Criterion, Larry Williams and more!",1.0,185,506,0,Business Finance,2015,180.0,forex strategies kelly criterion larry williams business finance,0.2886751345948129
70,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",1.0,125,237,0,Business Finance,2014,300.0,elite trend trader learn trade stocks options forex business finance,0.25819888974716115
71,Options Trading Introduction: Day Trade Stock Options,1.0,95,218,1,Business Finance,2015,150.0,options trading introduction day trade stock business finance,0.2886751345948129
72,The Almost Perfect Options Trading Strategy System - Unique,1.0,200,18,0,Business Finance,2017,1.0,almost perfect options trading strategy system unique business finance,0.2721655269759087
73,Forex Trading -  Learn to Trade Forex Like the Banks,1.0,20,240,0,Business Finance,2016,1.0,forex trading learn trade like banks business finance,0.2886751345948129
74,Learn to Trade for Profit:Trading with Japanese Candlesticks,1.0,60,273,1,Business Finance,2014,180.0,learn trade profit trading japanese candlesticks business finance,0.2886751345948129
75,The Most Powerful Options Spread Trading Front Ratio Spread,1.0,200,16,0,Business Finance,2017,120.0,powerful options spread trading front ratio business finance,0.2886751345948129
76,What Finance Job is for You? Explanation of 14 Finance Roles,1.0,200,232,0,Business Finance,2016,240.0,finance job explanation 14 roles business finance,0.408248290463863
77,The Blueprint for Successful Stock Trading,1.0,120,331,0,Business Finance,2015,1.0,blueprint successful stock trading business finance,0.3333333333333334
78,Trading for Beginners - Intermediate Level,1.0,150,40,1,Business Finance,2016,300.0,trading beginners intermediate level business finance,0.3333333333333334
79,Start Trading Stocks Using Technical Analysis!,1.0,25,244,0,Business Finance,2016,240.0,start trading stocks using technical analysis business finance,0.2886751345948129
80,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,1.0,200,71,3,Business Finance,2017,90.0,learn set incubator hedge fund step business finance,0.2886751345948129
81,VPS for Forex Trading - Protect Your Forex Robots,1.0,160,225,0,Business Finance,2014,120.0,vps forex trading protect robots business finance,0.3086066999241838
82,Introduction to Accounting: The Language of Business,1.0,20,370,1,Business Finance,2014,690.0,introduction accounting language business business finance,0.4330127018922194
83,Basic Excel for Basic Bookkeeping and Accounting,1.0,95,340,1,Business Finance,2015,90.0,basic excel bookkeeping accounting business finance,0.3333333333333334
84,"Using 'The Greeks To Understand Options""",1.0,50,55,0,Business Finance,2016,1.0,using greeks understand options business finance,0.3333333333333334
85,Trading Options For Consistent Returns: Calendar Spreads,1.0,200,69,0,Business Finance,2016,90.0,trading options consistent returns calendar spreads business finance,0.2886751345948129
86,How to Create Your Personal Budget,1.0,20,53,0,Business Finance,2016,1.0,create personal budget business finance,0.36514837167011077
87,The Complete Value Investing Course: A Proven Approach,1.0,200,212,0,Business Finance,2015,270.0,complete value investing course proven approach business finance,0.4330127018922194
88,FOREX Trading with Price Action,1.0,195,57,1,Business Finance,2017,1.0,forex trading price action business finance,0.3333333333333334
89,Emini ES Futures - Advanced Non Directional Options Trading,1.0,200,15,0,Business Finance,2017,90.0,emini es futures advanced non directional options trading business finance,0.25819888974716115
90,Forex Trading - Advanced Fundamental Analysis,1.0,20,100,2,Business Finance,2016,150.0,forex trading advanced fundamental analysis business finance,0.3086066999241838
91,How To Invest With Tiny Capital In Stocks ?,1.0,20,5,1,Business Finance,2017,42.0,invest tiny capital stocks business finance,0.3333333333333334
92,Learn How To Successfully Trade Stocks: In 5 Simple Steps,1.0,95,276,0,Business Finance,2015,570.0,learn successfully trade stocks 5 simple steps business finance,0.2886751345948129
93,Test your knowledge in Basics of Accounting,1.0,30,11,1,Business Finance,2017,436.0,test knowledge basics accounting business finance,0.3333333333333334
94,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,1.0,150,402,1,Business Finance,2015,300.0,forex metatrader 4 master mt4 like pro trader business finance,0.2721655269759087
95,Test your Knowledge in Cost Accounting,1.0,30,3,0,Business Finance,2017,36.0,test knowledge cost accounting business finance,0.3333333333333334
96,Intermediate Options trading concepts for Stocks and Options,1.0,40,30,0,Business Finance,2015,1.0,intermediate options trading concepts stocks business finance,0.3086066999241838
97,Options Trading 101: The Basics,0.0,0,66,1,Business Finance,2017,33.0,options trading 101 basics business finance,0.3333333333333334
98,Practical Accounts APP Overview,1.0,20,1,2,Business Finance,2016,180.0,practical accounts app overview business finance,0.3333333333333334
99,Bitcoin Profits for Beginners,1.0,100,18,1,Business Finance,2017,90.0,bitcoin profits beginners business finance,0.36514837167011077
100,Trend Traders Club: How To Find And Trade Fast Moving Trends,1.0,75,31,0,Business Finance,2015,330.0,trend traders club find trade fast moving trends business finance,0.25819888974716115
101,Financial Statements Basics,1.0,20,19,1,Business Finance,2016,120.0,financial statements basics business finance,0.36514837167011077
102,High performance Stock Trading using key Options techniques,1.0,40,15,0,Business Finance,2015,90.0,high performance stock trading using key options techniques business finance,0.25819888974716115
103,Introduction to Financial Statement Analysis,1.0,20,25,1,Business Finance,2016,90.0,introduction financial statement analysis business finance,0.3333333333333334
104,Basics of Economics (College Level),1.0,25,12,0,Business Finance,2015,90.0,basics economics college level business finance,0.3333333333333334
105,Stock Market Investing for Beginners,0.0,0,2698,1,Business Finance,2013,90.0,stock market investing beginners business finance,0.3333333333333334
106,Accounting for Beginners : Learn Basics in under 1 Hour,1.0,50,13,1,Business Finance,2015,90.0,accounting beginners learn basics 1 hour business finance,0.3086066999241838
107,Straddle Options Trading - Profit in Any Market Direction,1.0,200,9,0,Business Finance,2016,1.0,straddle options trading profit market direction business finance,0.2886751345948129
108,Fundamentals of Forex Trading,0.0,0,620,0,Business Finance,2014,1.0,fundamentals forex trading business finance,0.36514837167011077
109,"Binary Options: Trading Strategies, 90% Accuracy and Signals",1.0,195,38,1,Business Finance,2015,1.0,binary options trading strategies 90 accuracy signals business finance,0.2721655269759087
110,Website Investing 101 - Buying & Selling Online Businesses,0.0,0,151,0,Business Finance,2016,120.0,website investing 101 buying selling online businesses business finance,0.2721655269759087
111,Practical Accounts & Bookkeeping Automated Overview ,1.0,20,17,0,Business Finance,2016,270.0,practical accounts bookkeeping automated overview business finance,0.3086066999241838
112,Live Account - ETF Trading System - Hacking The Stock Market,1.0,150,19,0,Business Finance,2014,300.0,live account etf trading system hacking stock market business finance,0.25819888974716115
113,Stock Market Leverage: How to Start Trading Options Wisely,1.0,95,14,1,Business Finance,2015,90.0,stock market leverage start trading options wisely business finance,0.2721655269759087
114,Stock Market Foundations,0.0,0,794,1,Business Finance,2014,120.0,stock market foundations business finance,0.36514837167011077
115,Crash Course on Working Capital Management,1.0,20,8,0,Business Finance,2015,1.0,crash course working capital management business finance,0.4629100498862757
116,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,1.0,150,16,0,Business Finance,2016,3720.0,advanced accounting complete study ca cma cfa cs business finance,0.25819888974716115
117,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,1.0,20,29,0,Business Finance,2016,90.0,61 profit 1 month crush forex trading paradigm business finance,0.2721655269759087
118,How to create a routine Trading,1.0,25,8,0,Business Finance,2017,8.0,create routine trading business finance,0.36514837167011077
119,"Forex Trading Secrets |MT4 Robot (EA) inside, no coding",1.0,150,48,0,Business Finance,2015,41.0,forex trading secrets mt4 robot ea inside coding business finance,0.25819888974716115
120,Forex SOS Course: Trading Tweaks And Working Forex Strategy,1.0,50,48,1,Business Finance,2015,150.0,forex sos course trading tweaks working strategy business finance,0.408248290463863
121,Introduction to Financial Modeling,0.0,0,1463,2,Business Finance,2014,90.0,introduction financial modeling business finance,0.36514837167011077
122,Quantitative Aptitude for Banking & Competitive Examinations,1.0,50,1,0,Business Finance,2017,180.0,quantitative aptitude banking competitive examinations business finance,0.4629100498862757
123,Option Spreads and Credit Spreads Bundle,1.0,180,194,3,Business Finance,2013,270.0,option spreads credit bundle business finance,0.3333333333333334
124,B Com Accountancy I (Paper ECO 02 IGNOU),1.0,50,6,0,Business Finance,2016,1890.0,b com accountancy paper eco 02 ignou business finance,0.2886751345948129
125,FOREX TRADING - Learn in a quick + profitable way + support,1.0,100,48,0,Business Finance,2017,210.0,forex trading learn quick profitable way support business finance,0.2721655269759087
126,Auditing Basics (Professional Course Level),1.0,25,10,0,Business Finance,2015,150.0,auditing basics professional course level business finance,0.4629100498862757
127,Stock market Investing Encyclopedia: How to invest in stocks,1.0,200,11,2,Business Finance,2015,180.0,stock market investing encyclopedia invest stocks business finance,0.2886751345948129
128,Learn the basics of preparing accounting statements,1.0,20,30,2,Business Finance,2015,33.0,learn basics preparing accounting statements business finance,0.3086066999241838
129,Elliott Wave -Forex Trading With The Elliott Wave Theory,1.0,90,35,3,Business Finance,2016,1.0,elliott wave forex trading theory business finance,0.3086066999241838
130,Corporate Finance - A Brief Introduction,0.0,0,649,1,Business Finance,2016,90.0,corporate finance brief introduction business finance,0.4330127018922194
131,Excel functions to analyze and visualize data,1.0,20,54,2,Business Finance,2015,120.0,excel functions analyze visualize data business finance,0.3086066999241838
132,Building Financial Statements in Excel,1.0,35,1,1,Business Finance,2017,1.0,building financial statements excel business finance,0.3333333333333334
133,Transfer Pricing A Complete Analysis,1.0,50,3,0,Business Finance,2016,150.0,transfer pricing complete analysis business finance,0.3333333333333334
134,Accounting: Get Hired Without Work Experience,1.0,100,187,0,Business Finance,2014,1.0,accounting get hired without work experience business finance,0.2886751345948129
135,Forex Trading for Beginners - Basics,1.0,50,9,0,Business Finance,2017,1.0,forex trading beginners basics business finance,0.3333333333333334
136,Basic Bookkeeping Hacks,1.0,20,16,0,Business Finance,2016,90.0,basic bookkeeping hacks business finance,0.36514837167011077
137,Complete Trading Plan Course for Stocks & Forex (10 Hours),1.0,200,14,0,Business Finance,2017,570.0,complete trading plan course stocks forex 10 hours business finance,0.3872983346207417
138,"Forex Trading with Fixed 'Risk through Options Trading""",1.0,200,4,1,Business Finance,2017,1.0,forex trading fixed risk options business finance,0.3086066999241838
139,"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",1.0,60,149,0,Business Finance,2016,1200.0,intro investment banking ipo modeling free book business finance,0.5443310539518174
140,How to Pick The Right Penny Stocks To Invest In 2017,1.0,150,65,0,Business Finance,2014,150.0,pick right penny stocks invest 2017 business finance,0.2886751345948129
141,Top 10 Trading Ideas in the Equities Market,1.0,20,4,0,Business Finance,2017,1.0,top 10 trading ideas equities market business finance,0.2886751345948129
142,Intro to Financial Modeling,1.0,105,110,1,Business Finance,2016,360.0,intro financial modeling business finance,0.36514837167011077
143,Shark Accounting - Building a Business by the Numbers!,1.0,20,140,1,Business Finance,2014,90.0,shark accounting building business numbers business finance,0.408248290463863
144,Forex Trading MAKE YOUR FIRST TRADE TODAY!,1.0,150,46,0,Business Finance,2016,240.0,forex trading make first trade today business finance,0.2886751345948129
145,Accounting in 60 Minutes - A Brief Introduction,0.0,0,4397,1,Business Finance,2013,90.0,accounting 60 minutes brief introduction business finance,0.3086066999241838
146,SAP FICO For Beginners - A Guide to SAP Financial Accounts,1.0,100,101,1,Business Finance,2016,300.0,sap fico beginners guide financial accounts business finance,0.2886751345948129
147,Learn how to double your Forex Trading Account in one trade,1.0,60,424,2,Business Finance,2014,150.0,learn double forex trading account one trade business finance,0.2721655269759087
148,"Accounting Superpowers: Learn Accounts, Understand Business!",1.0,200,96,1,Business Finance,2016,150.0,accounting superpowers learn accounts understand business business finance,0.3872983346207417
149,Python Algo Trading: FX Trading with Oanda,1.0,200,42,2,Business Finance,2017,180.0,python algo trading fx oanda business finance,0.3086066999241838
150,Save on Your Taxes,1.0,20,12,0,Business Finance,2016,90.0,save taxes business finance,0.4082482904638631
151,Financial Model Basics: Build a model from start to finish,1.0,30,142,1,Business Finance,2015,1.0,financial model basics build start finish business finance,0.2886751345948129
152,Option Trading for Rookies: The Covered Call Option Strategy,1.0,95,25,1,Business Finance,2016,90.0,option trading rookies covered call strategy business finance,0.2886751345948129
153,EFT for Stock Options Trading Success & Making Better Trades,1.0,95,13,0,Business Finance,2015,90.0,eft stock options trading success making better trades business finance,0.25819888974716115
154,Learn to Trade the Stock Market without Blowing Your Profits,1.0,60,16,0,Business Finance,2017,1.0,learn trade stock market without blowing profits business finance,0.2721655269759087
155,Get a Credit Repair Publication On Amazon and Live LIFE..,1.0,20,11,1,Business Finance,2017,180.0,get credit repair publication amazon live life .. business finance,0.2721655269759087
156,Fundamentals of Accounting,1.0,20,43,0,Business Finance,2016,180.0,fundamentals accounting business finance,0.4082482904638631
157,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",1.0,200,9,0,Business Finance,2017,210.0,rsi options trading technical analysis 3 course bundle business finance,0.408248290463863
158,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,1.0,125,2,2,Business Finance,2017,1.0,basics mutual funds ca cma cs cfa exams business finance,0.25819888974716115
159,Accounting 101: How to read an Accounting Balance Sheet,1.0,200,86,1,Business Finance,2015,120.0,accounting 101 read balance sheet business finance,0.3086066999241838
160,Stock Options Day Trading Mindset for Success,1.0,200,21,0,Business Finance,2015,270.0,stock options day trading mindset success business finance,0.2886751345948129
161,Introduction to bookkeeping and Accounting,1.0,35,158,1,Business Finance,2015,1.0,introduction bookkeeping accounting business finance,0.36514837167011077
162,Learn to Trade The News,1.0,200,351,0,Business Finance,2015,2790.0,learn trade news business finance,0.36514837167011077
163,"Value Investing, Taught by Six Superinvestors",1.0,200,267,0,Business Finance,2015,300.0,value investing taught six superinvestors business finance,0.3086066999241838
164,Trading for everyone - The Independent Investor Course I,1.0,120,15,1,Business Finance,2015,240.0,trading everyone independent investor course business finance,0.4629100498862757
165,Get Acquired: Learn From The Head Of Acquisitions For eBay,1.0,195,70,0,Business Finance,2016,150.0,get acquired learn head acquisitions ebay business finance,0.2886751345948129
166,Stock Market investment: Practical Accounting,1.0,125,6,1,Business Finance,2017,180.0,stock market investment practical accounting business finance,0.4629100498862757
167,"How to remove 'Risk from Penny Stocks - Options Trading""",1.0,200,12,0,Business Finance,2017,1.0,remove risk penny stocks options trading business finance,0.2886751345948129
168,Accounting Basics in 66 Minutes (absolutely for beginners),1.0,25,31,0,Business Finance,2015,90.0,accounting basics 66 minutes absolutely beginners business finance,0.2886751345948129
169,"Tax Accounting: Difficult Topic, Made Easy to Understand",1.0,200,10,0,Business Finance,2017,120.0,tax accounting difficult topic made easy understand business finance,0.2721655269759087
170,Analysis of Company Financial Statements,1.0,20,34,0,Business Finance,2016,90.0,analysis company financial statements business finance,0.3333333333333334
171,Forex Trading Like Banks – Step by Step with Live Examples,1.0,195,45,0,Business Finance,2016,270.0,forex trading like banks – step live examples business finance,0.2721655269759087
172,Fundamentals of Investing!,1.0,20,54,1,Business Finance,2015,120.0,fundamentals investing business finance,0.4082482904638631
173,Bank Financial Management A Comprehensive Study,1.0,50,6,0,Business Finance,2017,90.0,bank financial management comprehensive study business finance,0.3086066999241838
174,Learn to Trade Forex and Stocks: From Beginner to Advanced,1.0,200,25,0,Business Finance,2016,120.0,learn trade forex stocks beginner advanced business finance,0.2886751345948129
175,"Master 'Technical Analysis and Chart reading skills Bundle""",1.0,120,352,0,Business Finance,2013,180.0,master technical analysis chart reading skills bundle business finance,0.2721655269759087
176,Naked Put Options Trade Covered Call & Poor Man Covered Call,1.0,200,7,0,Business Finance,2017,90.0,naked put options trade covered call poor man business finance,0.25819888974716115
177,The Ultimate Guide to Dividend & Dividend Growth Investing,1.0,200,59,0,Business Finance,2015,330.0,ultimate guide dividend growth investing business finance,0.4629100498862757
178,Charting for Beginners 101: Technical Analysis Demystified,1.0,45,102,0,Business Finance,2015,90.0,charting beginners 101 technical analysis demystified business finance,0.2886751345948129
179,Build a DCF Valuation Model,1.0,50,234,0,Business Finance,2014,330.0,build dcf valuation model business finance,0.3333333333333334
180,Introductory Financial Accounting,1.0,80,265,1,Business Finance,2012,600.0,introductory financial accounting business finance,0.36514837167011077
181,Introduction to Cryptocurrencies and Blockchain,0.0,0,138,1,Business Finance,2017,120.0,introduction cryptocurrencies blockchain business finance,0.36514837167011077
182,Trade Pullback Candlestick Strategy - Make Consistent Pips,1.0,200,67,0,Business Finance,2016,180.0,trade pullback candlestick strategy make consistent pips business finance,0.2721655269759087
183,Accounting Standards Basics (Professional Course Level),1.0,20,9,0,Business Finance,2015,42.0,accounting standards basics professional course level business finance,0.4330127018922194
184,Use the Magic Multiple Moving Average Forex Trading system,1.0,50,252,2,Business Finance,2014,1.0,use magic multiple moving average forex trading system business finance,0.25819888974716115
185,QuickBooks 2015 Training for Newbies,1.0,200,21,1,Business Finance,2015,360.0,quickbooks 2015 training newbies business finance,0.3333333333333334
186,TRADING PSYCHOLOGY: Trading Mindset Mastery,1.0,120,23,2,Business Finance,2015,1.0,trading psychology mindset mastery business finance,0.3333333333333334
187,Option Trading: How to Adjust Delta-Neutral Strangles!,1.0,145,15,0,Business Finance,2015,90.0,option trading adjust delta neutral strangles business finance,0.2886751345948129
188,Profitable binary option trading strategy,1.0,195,24,0,Business Finance,2015,90.0,profitable binary option trading strategy business finance,0.3086066999241838
189,Tax Strategy: Financial Planning for Beginners,1.0,200,59,0,Business Finance,2014,120.0,tax strategy financial planning beginners business finance,0.3086066999241838
190,Accounting 2 Simplified for You,1.0,45,23,1,Business Finance,2014,300.0,accounting 2 simplified business finance,0.4082482904638631
191,Project Funding Modelling (for Professionals),1.0,20,3,0,Business Finance,2014,90.0,project funding modelling professionals business finance,0.3333333333333334
192,Investing: How I Consistently Beat The Stock Market,1.0,200,31,0,Business Finance,2014,270.0,investing consistently beat stock market business finance,0.3086066999241838
193,Bookkeeping Basics:  Understand the Fundamentals,1.0,75,45,1,Business Finance,2016,270.0,bookkeeping basics understand fundamentals business finance,0.3333333333333334
